preferred_zone,preferred_entry_date,minimum_acceptable_group_size,results_status,awarded_preference,awarded_entry_date,awarded_entrance,awarded_group_size,awarded,preferred_option,preferred_entry_date_month,preferred_entry_date_day
Core Enchantment Zone,06-24-2022,4,Awarded,2,07-01-2022,Snow Zone,4,False,1,June,Friday
Core Enchantment Zone,09-26-2022,6,Awarded,3,10-04-2022,Stuart  Zone,6,False,1,September,Monday
Core Enchantment Zone,06-24-2022,2,Awarded,3,10-21-2022,Colchuck Zone,2,False,1,June,Friday
Core Enchantment Zone,08-30-2022,3,Awarded,2,08-30-2022,Snow Zone,3,False,1,August,Tuesday
Core Enchantment Zone,09-24-2022,4,Awarded,3,09-25-2022,Core Enchantment Zone,4,False,1,September,Saturday
Core Enchantment Zone,09-01-2022,2,Awarded,3,10-22-2022,Snow Zone,2,False,1,September,Thursday
Snow Zone,10-06-2022,8,Awarded,3,10-13-2022,Snow Zone,8,False,1,October,Thursday
Core Enchantment Zone,06-18-2022,4,Awarded,3,06-18-2022,Eightmile/Caroline Zone,4,False,1,June,Saturday
Core Enchantment Zone,07-02-2022,8,Awarded,3,07-05-2022,Stuart  Zone,8,False,1,July,Saturday
Core Enchantment Zone,08-19-2022,3,Awarded,2,08-19-2022,Eightmile/Caroline Zone (stock),3,False,1,August,Friday
Core Enchantment Zone,07-15-2022,6,Awarded,2,08-30-2022,Core Enchantment Zone,6,False,1,July,Friday
Core Enchantment Zone,09-23-2022,5,Awarded,3,09-27-2022,Colchuck Zone,2,False,1,September,Friday
Snow Zone,09-09-2022,8,Awarded,3,06-17-2022,Snow Zone,8,False,1,September,Friday
Core Enchantment Zone,06-25-2022,4,Awarded,2,06-25-2022,Snow Zone,4,False,1,June,Saturday
Eightmile/Caroline Zone,07-02-2022,8,Awarded,2,07-02-2022,Stuart  Zone,8,False,1,July,Saturday
Core Enchantment Zone,05-27-2022,4,Awarded,3,06-03-2022,Core Enchantment Zone,4,False,1,May,Friday
Snow Zone,08-29-2022,4,Awarded,3,10-09-2022,Snow Zone,4,False,1,August,Monday
Core Enchantment Zone,08-27-2022,2,Awarded,3,07-09-2022,Snow Zone,2,False,1,August,Saturday
Core Enchantment Zone,07-27-2022,4,Awarded,3,07-27-2022,Snow Zone,4,False,1,July,Wednesday
Core Enchantment Zone,08-28-2022,6,Awarded,2,09-04-2022,Core Enchantment Zone,6,False,1,August,Sunday
Colchuck Zone,07-11-2022,4,Awarded,3,08-18-2022,Snow Zone,4,False,1,July,Monday
Core Enchantment Zone,07-08-2022,8,Awarded,3,07-10-2022,Colchuck Zone,8,False,1,July,Friday
