Maximum Requested Group Size 1,Preferred Entry Date 2,Preferred Division 2,Minimum Acceptable Group Size 2,Maximum Requested Group Size 2,Preferred Entry Date 3,Preferred Division 3,Minimum Acceptable Group Size 3,Maximum Requested Group Size 3,Results Status,Awarded Preference,Awarded Entrance Code/Name,Awarded Group Size,State
2,6/11/2023,Core Enchantment Zone,2,2,6/4/2023,Core Enchantment Zone,2,2,Awarded,1,Core Enchantment Zone,2,OR
8,8/23/2023,Core Enchantment Zone,8,8,8/24/2023,Core Enchantment Zone,8,8,Unsuccessful,,,,WA
4,7/21/2023,Colchuck Zone,4,4,8/4/2023,Colchuck Zone,4,4,Unsuccessful,,,,WA
2,7/20/2023,Core Enchantment Zone,2,2,8/3/2023,Core Enchantment Zone,2,2,Unsuccessful,,,,WA
3,8/22/2023,Core Enchantment Zone,3,3,8/23/2023,Eightmile/Caroline Zone,3,3,Unsuccessful,,,,WA
2,9/20/2023,Core Enchantment Zone,2,2,9/28/2023,Core Enchantment Zone,2,2,Unsuccessful,,,,WA
2,9/9/2023,Core Enchantment Zone,2,2,9/16/2023,Core Enchantment Zone,2,2,Unsuccessful,,,,WA
8,8/13/2023,Snow Zone,8,8,8/27/2023,Snow Zone,8,8,Unsuccessful,,,,WA
4,8/2/2023,Colchuck Zone,4,4,7/31/2023,Snow Zone,4,4,Unsuccessful,,,,OR
2,8/11/2023,Core Enchantment Zone,2,2,8/20/2023,Core Enchantment Zone,2,2,Unsuccessful,,,,CA
4,7/1/2023,Snow Zone,4,4,7/29/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,WA
8,8/9/2023,Core Enchantment Zone,8,8,8/10/2023,Core Enchantment Zone,8,8,Unsuccessful,,,,WA
6,,,,,,,,,Unsuccessful,,,,WA
8,9/9/2023,Colchuck Zone,8,8,9/15/2023,Colchuck Zone,8,8,Unsuccessful,,,,OR
6,9/30/2023,Stuart Zone (stock),6,6,9/23/2023,Colchuck Zone,6,6,Unsuccessful,,,,CA
6,6/1/2023,Core Enchantment Zone,8,8,9/1/2023,Colchuck Zone,8,8,Unsuccessful,,,,WA
8,6/20/2023,Colchuck Zone,8,8,7/20/2023,Eightmile/Caroline Zone (stock),8,8,Unsuccessful,,,,WA
3,7/11/2023,Colchuck Zone,3,3,7/12/2023,Stuart  Zone,3,3,Unsuccessful,,,,PA
4,7/2/2023,Colchuck Zone,4,4,8/14/2023,Colchuck Zone,4,4,Awarded,1,Colchuck Zone,4,DC
3,9/6/2023,Core Enchantment Zone,3,3,9/20/2023,Core Enchantment Zone,3,3,Unsuccessful,,,,IL
4,10/5/2023,Colchuck Zone,4,4,10/7/2023,Colchuck Zone,4,4,Unsuccessful,,,,WA
2,9/18/2023,Core Enchantment Zone,2,2,9/19/2023,Core Enchantment Zone,2,2,Unsuccessful,,,,WA
6,8/2/2023,Core Enchantment Zone,6,6,8/3/2023,Core Enchantment Zone,6,6,Unsuccessful,,,,WA
2,9/6/2023,Colchuck Zone,2,2,9/20/2023,Eightmile/Caroline Zone,2,2,Awarded,3,Eightmile/Caroline Zone,2,WA
5,8/13/2023,Colchuck Zone,5,5,8/20/2023,Colchuck Zone,5,5,Unsuccessful,,,,WA
6,7/9/2023,Colchuck Zone,6,6,8/3/2023,Core Enchantment Zone,6,6,Unsuccessful,,,,WA
6,9/29/2023,Core Enchantment Zone,6,6,10/6/2023,Core Enchantment Zone,6,6,Unsuccessful,,,,WA
4,8/21/2023,Stuart  Zone,4,4,8/21/2023,Colchuck Zone,4,4,Unsuccessful,,,,WA
2,7/25/2023,Core Enchantment Zone,2,2,7/26/2023,Core Enchantment Zone,2,2,Unsuccessful,,,,WA
8,8/16/2023,Snow Zone,8,8,8/17/2023,Snow Zone,8,8,Unsuccessful,,,,OR
6,9/7/2023,Core Enchantment Zone,6,6,9/21/2023,Core Enchantment Zone,7,7,Unsuccessful,,,,WA
2,9/26/2023,Snow Zone,2,2,6/26/2023,Snow Zone,2,2,Unsuccessful,,,,WA
4,9/14/2023,Core Enchantment Zone,4,4,9/21/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,OH
2,8/8/2023,Snow Zone,2,2,8/9/2023,Snow Zone,2,2,Unsuccessful,,,,WA
5,8/11/2023,Core Enchantment Zone,5,5,7/14/2023,Core Enchantment Zone,5,5,Unsuccessful,,,,WA
5,6/30/2023,Colchuck Zone,8,8,6/30/2023,Snow Zone,8,8,Unsuccessful,,,,OR
2,9/11/2023,Snow Zone,2,2,9/19/2023,Snow Zone,2,2,Unsuccessful,,,,KY
4,10/12/2023,Core Enchantment Zone,4,4,10/11/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,WA
8,8/10/2023,Core Enchantment Zone,8,8,9/1/2023,Core Enchantment Zone,8,8,Unsuccessful,,,,WA
4,7/1/2023,Colchuck Zone,4,4,9/1/2023,Colchuck Zone,4,4,Cancelled,,,,WA
8,8/19/2023,Colchuck Zone,8,8,8/17/2023,Colchuck Zone,8,8,Unsuccessful,,,,WA
2,8/9/2023,Core Enchantment Zone,2,2,8/16/2023,Core Enchantment Zone,2,2,Unsuccessful,,,,WA
3,6/20/2023,Core Enchantment Zone,3,3,7/18/2023,Core Enchantment Zone,3,3,Unsuccessful,,,,WA
5,7/18/2023,Colchuck Zone,5,5,7/25/2023,Core Enchantment Zone,5,5,Unsuccessful,,,,WA
4,9/10/2023,Colchuck Zone,4,4,10/1/2023,Colchuck Zone,4,4,Unsuccessful,,,,WA
3,7/5/2023,Core Enchantment Zone,3,3,7/8/2023,Core Enchantment Zone,3,3,Unsuccessful,,,,PA
2,9/30/2023,Colchuck Zone,2,2,10/7/2023,Colchuck Zone,2,2,Unsuccessful,,,,WA
