preferred_entry_date_1,preferred_zone_1,preferred_entry_date_2,preferred_zone_2,preferred_entry_date_3,preferred_zone_3,results_status,awarded_preference,awarded_entry_date,awarded_entrance_code_name,awarded_group_size
06-26-2020,Colchuck Zone,06-26-2020,Core Enchantment Zone,07-10-2020,Core Enchantment Zone,Unsuccessful,0,01-01-1970,N/A,0
08-01-2020,Core Enchantment Zone,09-12-2020,Core Enchantment Zone,06-21-2020,Core Enchantment Zone,Unsuccessful,0,01-01-1970,N/A,0
09-19-2020,Core Enchantment Zone,09-12-2020,Core Enchantment Zone,09-26-2020,Core Enchantment Zone,Unsuccessful,0,01-01-1970,N/A,0
08-22-2020,Core Enchantment Zone,09-17-2020,Core Enchantment Zone,09-18-2020,Core Enchantment Zone,Unsuccessful,0,01-01-1970,N/A,0
07-17-2020,Snow Zone,07-24-2020,Colchuck Zone,07-17-2020,Core Enchantment Zone,Awarded,1,07-17-2020,Snow Zone,6
07-30-2020,Core Enchantment Zone,08-04-2020,Colchuck Zone,09-28-2020,Colchuck Zone,Unsuccessful,0,01-01-1970,N/A,0
10-14-2020,Colchuck Zone,01-01-1970,N/A,01-01-1970,N/A,Awarded,1,10-14-2020,Colchuck Zone,2
09-05-2020,Eightmile/Caroline Zone (stock),08-27-2020,Core Enchantment Zone,07-31-2020,Stuart  Zone,Awarded,1,09-05-2020,Eightmile/Caroline Zone (stock),6
08-01-2020,Core Enchantment Zone,08-05-2020,Core Enchantment Zone,08-03-2020,Stuart  Zone,Unsuccessful,0,01-01-1970,N/A,0
07-17-2020,Colchuck Zone,07-14-2020,Core Enchantment Zone,07-24-2020,Stuart  Zone,Unsuccessful,0,01-01-1970,N/A,0
08-12-2020,Core Enchantment Zone,08-19-2020,Core Enchantment Zone,08-26-2020,Core Enchantment Zone,Unsuccessful,0,01-01-1970,N/A,0
09-10-2020,Core Enchantment Zone,09-03-2020,Core Enchantment Zone,09-17-2020,Core Enchantment Zone,Unsuccessful,0,01-01-1970,N/A,0
06-06-2020,Snow Zone,06-06-2020,Eightmile/Caroline Zone (stock),06-06-2020,Stuart  Zone,Unsuccessful,0,01-01-1970,N/A,0
08-07-2020,Core Enchantment Zone,07-24-2020,Core Enchantment Zone,07-31-2020,Core Enchantment Zone,Unsuccessful,0,01-01-1970,N/A,0
07-09-2020,Core Enchantment Zone,08-27-2020,Core Enchantment Zone,08-20-2020,Core Enchantment Zone,Unsuccessful,0,01-01-1970,N/A,0
07-11-2020,Core Enchantment Zone,07-18-2020,Core Enchantment Zone,07-17-2020,Core Enchantment Zone,Unsuccessful,0,01-01-1970,N/A,0
07-26-2020,Core Enchantment Zone,08-02-2020,Snow Zone,08-09-2020,Colchuck Zone,Unsuccessful,0,01-01-1970,N/A,0
07-14-2020,Core Enchantment Zone,07-21-2020,Core Enchantment Zone,07-28-2020,Core Enchantment Zone,Unsuccessful,0,01-01-1970,N/A,0
06-20-2020,Core Enchantment Zone,07-18-2020,Colchuck Zone,07-25-2020,Eightmile/Caroline Zone,Awarded,3,07-25-2020,Eightmile/Caroline Zone,8
08-03-2020,Core Enchantment Zone,09-07-2020,Core Enchantment Zone,08-02-2020,Core Enchantment Zone,Unsuccessful,0,01-01-1970,N/A,0
