preferred_zone,preferred_entry_date,minimum_acceptable_group_size,results_status,awarded_preference,awarded_entry_date,awarded_entrance_code_name,awarded_group_size,processing_sequence,state,year,awarded,preferred_option,preferred_entry_date_month,preferred_entry_date_day
Core Enchantment Zone,06-20-2020,0.0,Awarded,3,07-25-2020,Eightmile/Caroline Zone,8,,,2020,False,1,June,Saturday
Core Enchantment Zone,09-07-2020,0.0,Awarded,2,06-24-2020,Colchuck Zone,4,,,2020,False,1,September,Monday
Core Enchantment Zone,07-04-2020,0.0,Awarded,2,07-25-2020,Stuart  Zone,6,,,2020,False,1,July,Saturday
Snow Zone,06-25-2020,0.0,Awarded,3,05-21-2020,Snow Zone,6,,,2020,False,1,June,Thursday
Eightmile/Caroline Zone,06-06-2020,0.0,Awarded,3,05-15-2020,Eightmile/Caroline Zone,3,,,2020,False,1,June,Saturday
Core Enchantment Zone,08-06-2020,0.0,Awarded,3,06-06-2020,Snow Zone,4,,,2020,False,1,August,Thursday
Colchuck Zone,07-23-2020,0.0,Awarded,3,07-26-2020,Snow Zone,6,,,2020,False,1,July,Thursday
Colchuck Zone,08-05-2020,0.0,Awarded,3,09-28-2020,Snow Zone,6,,,2020,False,1,August,Wednesday
Core Enchantment Zone,08-18-2020,0.0,Awarded,3,08-18-2020,Snow Zone,2,,,2020,False,1,August,Tuesday
Stuart  Zone,08-26-2020,0.0,Awarded,2,05-20-2020,Eightmile/Caroline Zone,4,,,2020,False,1,August,Wednesday
Core Enchantment Zone,07-16-2020,0.0,Awarded,3,09-03-2020,Core Enchantment Zone,3,,,2020,False,1,July,Thursday
Core Enchantment Zone,10-05-2020,0.0,Awarded,3,10-07-2020,Core Enchantment Zone,6,,,2020,False,1,October,Monday
Core Enchantment Zone,07-14-2020,0.0,Awarded,2,07-21-2020,Snow Zone,4,,,2020,False,1,July,Tuesday
Stuart  Zone,09-08-2020,0.0,Awarded,3,09-15-2020,Stuart  Zone,2,,,2020,False,1,September,Tuesday
Core Enchantment Zone,08-21-2020,0.0,Awarded,2,08-21-2020,Stuart  Zone,4,,,2020,False,1,August,Friday
Core Enchantment Zone,09-30-2020,0.0,Awarded,3,09-03-2020,Stuart  Zone,2,,,2020,False,1,September,Wednesday
Core Enchantment Zone,08-28-2020,0.0,Awarded,3,09-04-2020,Snow Zone,6,,,2020,False,1,August,Friday
Core Enchantment Zone,07-27-2020,0.0,Awarded,2,08-17-2020,Snow Zone,8,,,2020,False,1,July,Monday
Core Enchantment Zone,07-22-2020,0.0,Awarded,2,07-22-2020,Snow Zone,6,,,2020,False,1,July,Wednesday
Core Enchantment Zone,06-10-2020,0.0,Awarded,3,06-07-2020,Colchuck Zone,4,,,2020,False,1,June,Wednesday
Core Enchantment Zone,09-14-2020,0.0,Awarded,3,09-16-2020,Eightmile/Caroline Zone,4,,,2020,False,1,September,Monday
Core Enchantment Zone,10-01-2020,0.0,Awarded,2,06-11-2020,Snow Zone,4,,,2020,False,1,October,Thursday
Stuart  Zone,09-09-2020,0.0,Awarded,3,09-22-2020,Stuart  Zone,3,,,2020,False,1,September,Wednesday
Eightmile/Caroline Zone,08-29-2020,0.0,Awarded,3,10-24-2020,Eightmile/Caroline Zone,2,,,2020,False,1,August,Saturday
Core Enchantment Zone,05-31-2020,0.0,Awarded,3,05-31-2020,Colchuck Zone,4,,,2020,False,1,May,Sunday
Core Enchantment Zone,07-02-2020,0.0,Awarded,3,09-30-2020,Stuart Zone (stock),4,,,2020,False,1,July,Thursday
Core Enchantment Zone,07-01-2020,0.0,Awarded,2,07-01-2020,Colchuck Zone,8,,,2020,False,1,July,Wednesday
Core Enchantment Zone,05-29-2020,0.0,Awarded,2,06-05-2020,Eightmile/Caroline Zone,2,,,2020,False,1,May,Friday
Eightmile/Caroline Zone,08-13-2020,0.0,Awarded,3,06-11-2020,Eightmile/Caroline Zone,8,,,2020,False,1,August,Thursday
Core Enchantment Zone,08-27-2020,0.0,Awarded,3,08-06-2020,Stuart  Zone,4,,,2020,False,1,August,Thursday
Core Enchantment Zone,09-19-2020,0.0,Awarded,3,10-03-2020,Stuart  Zone,4,,,2020,False,1,September,Saturday
Core Enchantment Zone,09-24-2020,0.0,Awarded,2,09-23-2020,Snow Zone,6,,,2020,False,1,September,Thursday
Core Enchantment Zone,06-02-2020,0.0,Awarded,2,10-20-2020,Colchuck Zone,2,,,2020,False,1,June,Tuesday
Core Enchantment Zone,07-10-2020,0.0,Awarded,2,07-10-2020,Stuart  Zone,8,,,2020,False,1,July,Friday
Core Enchantment Zone,09-12-2020,0.0,Awarded,3,06-20-2020,Core Enchantment Zone,8,,,2020,False,1,September,Saturday
Core Enchantment Zone,05-22-2020,0.0,Awarded,3,05-22-2020,Colchuck Zone,5,,,2020,False,1,May,Friday
Core Enchantment Zone,08-14-2020,0.0,Awarded,3,10-02-2020,Stuart Zone (stock),2,,,2020,False,1,August,Friday
Core Enchantment Zone,09-28-2020,0.0,Awarded,2,05-25-2020,Eightmile/Caroline Zone,2,,,2020,False,1,September,Monday
Core Enchantment Zone,08-20-2020,0.0,Awarded,3,06-04-2020,Core Enchantment Zone,6,,,2020,False,1,August,Thursday
Core Enchantment Zone,07-28-2020,0.0,Awarded,2,07-28-2020,Stuart  Zone,3,,,2020,False,1,July,Tuesday
Snow Zone,08-05-2020,0.0,Awarded,2,10-07-2020,Colchuck Zone,4,,,2020,False,1,August,Wednesday
Colchuck Zone,09-15-2020,0.0,Awarded,2,09-16-2020,Colchuck Zone,4,,,2020,False,1,September,Tuesday
Core Enchantment Zone,07-28-2020,0.0,Awarded,2,07-29-2020,Colchuck Zone,6,,,2020,False,1,July,Tuesday
Core Enchantment Zone,09-07-2020,0.0,Awarded,3,09-06-2020,Snow Zone,4,,,2020,False,1,September,Monday
Core Enchantment Zone,07-18-2020,0.0,Awarded,3,07-18-2020,Snow Zone,6,,,2020,False,1,July,Saturday
Core Enchantment Zone,09-24-2020,0.0,Awarded,3,09-23-2020,Snow Zone,4,,,2020,False,1,September,Thursday
Snow Zone,08-15-2020,0.0,Awarded,2,08-16-2020,Eightmile/Caroline Zone,4,,,2020,False,1,August,Saturday
Core Enchantment Zone,10-01-2020,0.0,Awarded,2,10-01-2020,Snow Zone,6,,,2020,False,1,October,Thursday
Core Enchantment Zone,06-17-2020,0.0,Awarded,3,05-20-2020,Colchuck Zone,5,,,2020,False,1,June,Wednesday
Eightmile/Caroline Zone,05-22-2020,0.0,Awarded,2,05-18-2020,Stuart  Zone,8,,,2020,False,1,May,Friday
Colchuck Zone,05-30-2020,0.0,Awarded,2,05-31-2020,Colchuck Zone,6,,,2020,False,1,May,Saturday
Stuart  Zone,08-08-2020,0.0,Awarded,3,09-19-2020,Stuart  Zone,6,,,2020,False,1,August,Saturday
Colchuck Zone,07-30-2020,0.0,Awarded,3,07-30-2020,Stuart  Zone,6,,,2020,False,1,July,Thursday
Colchuck Zone,07-25-2020,0.0,Awarded,2,05-21-2020,Colchuck Zone,6,,,2020,False,1,July,Saturday
Colchuck Zone,08-18-2020,0.0,Awarded,3,09-22-2020,Eightmile/Caroline Zone,2,,,2020,False,1,August,Tuesday
Core Enchantment Zone,08-13-2020,0.0,Awarded,3,05-27-2020,Snow Zone,7,,,2020,False,1,August,Thursday
